sample_id,human_score,ai_score,ai_uncertainty,needs_review,final_status
S0000,2,1,0.23872756383798086,False,provisional_alignment
S0001,1,3,0.2548553915534242,True,human_review_required
S0002,1,1,0.06950932332747978,False,provisional_alignment
S0003,4,4,0.17376605203720166,False,provisional_alignment
S0004,1,0,0.270339065029173,False,provisional_alignment
S0005,1,1,0.13488430232046236,False,provisional_alignment
S0006,4,4,0.11984107567672957,False,provisional_alignment
S0007,1,1,0.30446063063600426,True,human_review_required
S0008,2,3,0.25007221925922307,False,provisional_alignment
S0009,1,0,0.3259824914810546,True,human_review_required
S0010,0,1,0.19975293129705252,False,provisional_alignment
S0011,3,4,0.26107960621001913,False,provisional_alignment
S0012,4,4,0.07068414666405409,False,provisional_alignment
S0013,3,2,0.24139972063175527,False,provisional_alignment
S0014,1,1,0.19648896013700845,False,provisional_alignment
S0015,2,2,0.22430134539103344,False,provisional_alignment
S0016,4,4,0.10961578162452895,False,provisional_alignment
S0017,1,0,0.18737618984097354,False,provisional_alignment
S0018,2,2,0.10853545613731407,False,provisional_alignment
S0019,4,4,0.24095572621605787,False,provisional_alignment
S0020,0,0,0.4742910123003302,True,human_review_required
S0021,4,3,0.26274824333619284,False,provisional_alignment
S0022,3,3,0.08813541851926054,False,provisional_alignment
S0023,2,3,0.3844125321577384,True,human_review_required
S0024,3,3,0.12465652485223419,False,provisional_alignment
S0025,2,3,0.3413153233431168,True,human_review_required
S0026,1,1,0.1190862849785954,False,provisional_alignment
S0027,4,4,0.44318696393983525,True,human_review_required
S0028,4,4,0.0996513038434762,False,provisional_alignment
S0029,3,3,0.07674765569635733,False,provisional_alignment
S0030,3,4,0.2597499760721201,False,provisional_alignment
S0031,3,3,0.12586682012412836,False,provisional_alignment
S0032,4,4,0.06594790100863018,False,provisional_alignment
S0033,2,2,0.14465113534022553,False,provisional_alignment
S0034,3,4,0.3672637469806947,True,human_review_required
S0035,3,3,0.3345020857221767,True,human_review_required
S0036,3,3,0.11133910494209354,False,provisional_alignment
S0037,3,3,0.017803516040492656,False,provisional_alignment
S0038,1,1,0.1933652696841857,False,provisional_alignment
S0039,4,4,0.3026716636374024,True,human_review_required
S0040,1,2,0.31756363363864554,True,human_review_required
S0041,1,0,0.343994257421136,True,human_review_required
S0042,3,2,0.3968349617444972,True,human_review_required
S0043,0,0,0.39984674419416655,True,human_review_required
S0044,2,2,0.15987382853211363,False,provisional_alignment
S0045,3,3,0.1407151071922997,False,provisional_alignment
S0046,0,0,0.09921542915294818,False,provisional_alignment
S0047,2,2,0.15643092785357268,False,provisional_alignment
S0048,2,2,0.13540088187243546,False,provisional_alignment
S0049,3,3,0.14139044948906412,False,provisional_alignment
S0050,3,1,0.252136268037311,True,human_review_required
S0051,2,2,0.13663853092906034,False,provisional_alignment
S0052,1,3,0.2194157024465906,True,human_review_required
S0053,2,2,0.20180376761893004,False,provisional_alignment
S0054,0,0,0.1681410689330093,False,provisional_alignment
S0055,4,4,0.1576342217583503,False,provisional_alignment
S0056,4,4,0.360233169276793,True,human_review_required
S0057,1,1,0.07124400148045323,False,provisional_alignment
S0058,0,2,0.3669718351003436,True,human_review_required
S0059,3,3,0.11302464528044275,False,provisional_alignment
S0060,4,4,0.1292796866472402,False,provisional_alignment
S0061,2,2,0.01,False,provisional_alignment
S0062,0,2,0.2982581084050752,True,human_review_required
S0063,0,0,0.12404139245665508,False,provisional_alignment
S0064,2,2,0.16452853218901592,False,provisional_alignment
S0065,0,0,0.08085909349081427,False,provisional_alignment
S0066,2,1,0.23326809717253894,False,provisional_alignment
S0067,4,4,0.09912682934253064,False,provisional_alignment
S0068,3,2,0.2707117731659657,False,provisional_alignment
S0069,2,2,0.19237867845214512,False,provisional_alignment
S0070,1,0,0.5265198527516196,True,human_review_required
S0071,3,3,0.11501535234653354,False,provisional_alignment
S0072,0,0,0.27819465485451195,False,provisional_alignment
S0073,2,2,0.15892640632650198,False,provisional_alignment
S0074,1,1,0.18115147501935358,False,provisional_alignment
S0075,4,4,0.15829497204033366,False,provisional_alignment
S0076,0,0,0.13866139560572133,False,provisional_alignment
S0077,4,3,0.30339885100519665,True,human_review_required
S0078,1,1,0.14814098039722554,False,provisional_alignment
S0079,2,2,0.07862535142648718,False,provisional_alignment
S0080,2,2,0.1757040317565022,False,provisional_alignment
S0081,0,0,0.05766643728764204,False,provisional_alignment
S0082,3,3,0.06858640100685844,False,provisional_alignment
S0083,4,3,0.17920095914214243,False,provisional_alignment
S0084,3,3,0.07491779981308772,False,provisional_alignment
S0085,2,2,0.06741152390489855,False,provisional_alignment
S0086,4,4,0.10711952294920309,False,provisional_alignment
S0087,2,2,0.13139578607260288,False,provisional_alignment
S0088,2,2,0.015167470008646017,False,provisional_alignment
S0089,1,1,0.2653250080655032,False,provisional_alignment
S0090,2,2,0.01,False,provisional_alignment
S0091,0,0,0.04231722308751312,False,provisional_alignment
S0092,4,4,0.01,False,provisional_alignment
S0093,2,3,0.314515384822975,True,human_review_required
S0094,0,0,0.14168121425415622,False,provisional_alignment
S0095,0,0,0.06995519380495493,False,provisional_alignment
S0096,4,4,0.05247989996278388,False,provisional_alignment
S0097,0,0,0.051125424592825694,False,provisional_alignment
S0098,3,3,0.07698380831509938,False,provisional_alignment
S0099,4,3,0.20862413149888187,False,provisional_alignment
S0100,2,3,0.16285517589032972,False,provisional_alignment
S0101,0,0,0.15033347200561362,False,provisional_alignment
S0102,2,1,0.21458659480226971,False,provisional_alignment
S0103,3,3,0.09226871995685235,False,provisional_alignment
S0104,0,0,0.08764807015287365,False,provisional_alignment
S0105,2,4,0.40249924467553566,True,human_review_required
S0106,2,2,0.10126431645460714,False,provisional_alignment
S0107,1,1,0.2740142362828327,False,provisional_alignment
S0108,2,4,0.2916501762205169,True,human_review_required
S0109,2,2,0.12670909075620074,False,provisional_alignment
S0110,1,2,0.34674632279186435,True,human_review_required
S0111,1,0,0.05753294733473077,False,provisional_alignment
S0112,1,2,0.14212973910929014,False,provisional_alignment
S0113,0,0,0.20140475445329442,False,provisional_alignment
S0114,0,2,0.31971131147353576,True,human_review_required
S0115,3,3,0.12792074349889776,False,provisional_alignment
S0116,2,1,0.3297346796931274,True,human_review_required
S0117,0,0,0.4342935197336493,True,human_review_required
S0118,0,0,0.23626054785666786,False,provisional_alignment
S0119,0,0,0.18029068789164063,False,provisional_alignment
S0120,2,3,0.39368846070852503,True,human_review_required
S0121,0,1,0.273620657256583,False,provisional_alignment
S0122,1,1,0.10275330442167335,False,provisional_alignment
S0123,3,1,0.5374975874228641,True,human_review_required
S0124,0,0,0.01,False,provisional_alignment
S0125,4,4,0.23818989184267852,False,provisional_alignment
S0126,1,1,0.10804922172494895,False,provisional_alignment
S0127,2,3,0.30986894756249317,True,human_review_required
S0128,4,4,0.08338722919559347,False,provisional_alignment
S0129,0,0,0.48523747769141645,True,human_review_required
S0130,3,4,0.05447396358397898,False,provisional_alignment
S0131,2,2,0.22229434048215185,False,provisional_alignment
S0132,0,1,0.19662839219565173,False,provisional_alignment
S0133,2,0,0.46202317571180274,True,human_review_required
S0134,0,0,0.22203647123881268,False,provisional_alignment
S0135,3,3,0.2098882284221891,False,provisional_alignment
S0136,4,4,0.02873886811088909,False,provisional_alignment
S0137,0,1,0.26500913458626835,False,provisional_alignment
S0138,0,0,0.16977352600740792,False,provisional_alignment
S0139,3,2,0.37302049338572807,True,human_review_required
S0140,2,4,0.511547587849352,True,human_review_required
S0141,4,4,0.32116209431168663,True,human_review_required
S0142,2,4,0.29364308274711687,True,human_review_required
S0143,2,3,0.44972607218331395,True,human_review_required
S0144,4,4,0.16412173652118106,False,provisional_alignment
S0145,4,2,0.4359032080621338,True,human_review_required
S0146,2,2,0.06825767059209387,False,provisional_alignment
S0147,3,3,0.11512406959379695,False,provisional_alignment
S0148,3,1,0.4732821504333271,True,human_review_required
S0149,4,4,0.17974160854749777,False,provisional_alignment
S0150,4,4,0.16336981481349497,False,provisional_alignment
S0151,1,1,0.17755252608408997,False,provisional_alignment
S0152,1,0,0.2931310879392308,True,human_review_required
S0153,1,1,0.09568716715986769,False,provisional_alignment
S0154,2,3,0.1797056345416102,False,provisional_alignment
S0155,4,4,0.1314000607537555,False,provisional_alignment
S0156,4,3,0.3181110234573724,True,human_review_required
S0157,4,4,0.07242593331802594,False,provisional_alignment
S0158,4,4,0.19707838277989698,False,provisional_alignment
S0159,2,2,0.18682200346795474,False,provisional_alignment
S0160,2,3,0.22460102211318536,False,provisional_alignment
S0161,3,3,0.07960254227893321,False,provisional_alignment
S0162,3,4,0.44785505962288336,True,human_review_required
S0163,2,2,0.02830589420149575,False,provisional_alignment
S0164,1,1,0.20943573609802735,False,provisional_alignment
S0165,2,2,0.1117169850890216,False,provisional_alignment
S0166,3,3,0.2952739382550093,True,human_review_required
S0167,0,1,0.08492659553344145,False,provisional_alignment
S0168,3,3,0.1657857444732553,False,provisional_alignment
S0169,2,2,0.2108481548722,False,provisional_alignment
S0170,2,2,0.03587967247876721,False,provisional_alignment
S0171,1,3,0.3305603392446585,True,human_review_required
S0172,4,3,0.3998650720568953,True,human_review_required
S0173,2,2,0.06632922156696319,False,provisional_alignment
S0174,4,4,0.132574059979271,False,provisional_alignment
S0175,0,0,0.15926513775955675,False,provisional_alignment
S0176,3,2,0.13871270328122137,False,provisional_alignment
S0177,4,3,0.3265440513260098,True,human_review_required
S0178,4,4,0.19289976570158968,False,provisional_alignment
S0179,4,4,0.18086467371456488,False,provisional_alignment
S0180,2,4,0.4394145047013196,True,human_review_required
S0181,3,3,0.01,False,provisional_alignment
S0182,4,3,0.17546515650710043,False,provisional_alignment
S0183,0,0,0.341140266864755,True,human_review_required
S0184,1,0,0.0803829667789101,False,provisional_alignment
S0185,4,4,0.09719993183755045,False,provisional_alignment
S0186,2,1,0.06174539681272577,False,provisional_alignment
S0187,1,1,0.01205909700279345,False,provisional_alignment
S0188,3,4,0.3077417688895255,True,human_review_required
S0189,0,0,0.13097917206542933,False,provisional_alignment
S0190,0,0,0.12004111788251498,False,provisional_alignment
S0191,0,0,0.04434082552594662,False,provisional_alignment
S0192,2,2,0.20334487871743712,False,provisional_alignment
S0193,3,3,0.13946944333307396,False,provisional_alignment
S0194,0,0,0.021474614650072707,False,provisional_alignment
S0195,4,4,0.4352402893647827,True,human_review_required
S0196,2,2,0.3293128863102504,True,human_review_required
S0197,4,4,0.048621314578883953,False,provisional_alignment
S0198,4,4,0.15983314228953993,False,provisional_alignment
S0199,3,4,0.143529509144806,False,provisional_alignment
S0200,2,1,0.28151298828614285,True,human_review_required
S0201,1,1,0.24111875866720311,False,provisional_alignment
S0202,1,1,0.05110296938707071,False,provisional_alignment
S0203,1,3,0.372671823974946,True,human_review_required
S0204,4,4,0.37991622068858155,True,human_review_required
S0205,3,3,0.16390200106735753,False,provisional_alignment
S0206,3,2,0.11584588619873311,False,provisional_alignment
S0207,0,0,0.32859459748741654,True,human_review_required
S0208,3,3,0.16015294923091367,False,provisional_alignment
S0209,1,1,0.22338643214859139,False,provisional_alignment
S0210,1,0,0.40399602840312687,True,human_review_required
S0211,3,3,0.18166830746003343,False,provisional_alignment
S0212,2,2,0.15745109718040504,False,provisional_alignment
S0213,2,0,0.23302428575587375,True,human_review_required
S0214,2,4,0.2647162795980844,True,human_review_required
S0215,0,0,0.24138911947575648,False,provisional_alignment
S0216,2,3,0.09774449041126845,False,provisional_alignment
S0217,2,0,0.4401540498647908,True,human_review_required
S0218,2,2,0.08712542917356009,False,provisional_alignment
S0219,0,0,0.0859754955848045,False,provisional_alignment
S0220,1,0,0.5479245107443507,True,human_review_required
S0221,3,3,0.09276136987877744,False,provisional_alignment
S0222,0,2,0.3544134782390984,True,human_review_required
S0223,1,0,0.07248918335550449,False,provisional_alignment
S0224,1,1,0.051502580051632135,False,provisional_alignment
S0225,4,4,0.17169050564040503,False,provisional_alignment
S0226,1,1,0.1490902921525521,False,provisional_alignment
S0227,4,4,0.1399434216414078,False,provisional_alignment
S0228,1,0,0.35927680400641737,True,human_review_required
S0229,1,2,0.24084400631037095,False,provisional_alignment
S0230,1,1,0.19651216572755814,False,provisional_alignment
S0231,0,1,0.3973546627052727,True,human_review_required
S0232,1,1,0.1258846837696653,False,provisional_alignment
S0233,3,2,0.44095502042415885,True,human_review_required
S0234,2,2,0.1567947301623328,False,provisional_alignment
S0235,1,1,0.08687120640525245,False,provisional_alignment
S0236,2,2,0.10875162917389165,False,provisional_alignment
S0237,4,3,0.27076391578981607,False,provisional_alignment
S0238,3,3,0.06362429977584805,False,provisional_alignment
S0239,3,3,0.24910762714936807,False,provisional_alignment
S0240,4,4,0.4662860504600444,True,human_review_required
S0241,4,3,0.345617894186795,True,human_review_required
S0242,4,3,0.14141800852754643,False,provisional_alignment
S0243,1,1,0.1781398385677277,False,provisional_alignment
S0244,4,4,0.2830646808348129,True,human_review_required
S0245,4,4,0.30599856167023654,True,human_review_required
S0246,2,1,0.2746792753265801,False,provisional_alignment
S0247,4,3,0.3017281635162191,True,human_review_required
S0248,2,2,0.07482831132978612,False,provisional_alignment
S0249,3,4,0.0565754539875659,False,provisional_alignment
S0250,1,1,0.03621400462379297,False,provisional_alignment
S0251,2,1,0.12305203243228327,False,provisional_alignment
S0252,0,1,0.24381367427731118,False,provisional_alignment
S0253,0,0,0.08328025952488205,False,provisional_alignment
S0254,2,3,0.24204180134319386,False,provisional_alignment
S0255,0,0,0.15149378450159748,False,provisional_alignment
S0256,1,0,0.355019167579128,True,human_review_required
S0257,1,1,0.17482317457378915,False,provisional_alignment
S0258,2,3,0.058211752938398434,False,provisional_alignment
S0259,3,3,0.1522755790240818,False,provisional_alignment
S0260,3,4,0.2103758375003542,False,provisional_alignment
S0261,1,1,0.114058433434913,False,provisional_alignment
S0262,1,0,0.3852264663035574,True,human_review_required
